               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.062357,            0.031264,           0.0069552,             0.13738,             0.16372,            0.075277,            0.017498,            0.071145,            0.018278,           0.0083007,            0.008317,            0.008317,            0.008317
                  70,            0.060289,            0.029731,           0.0065349,             0.12706,             0.14345,            0.077667,            0.022639,            0.072812,            0.017975,           0.0080541,           0.0082922,           0.0082922,           0.0082922
                  71,            0.062001,            0.029314,           0.0075646,             0.17738,              0.2157,             0.12824,            0.029196,            0.074416,            0.016727,           0.0080383,           0.0082675,           0.0082675,           0.0082675
                  72,            0.060553,            0.030436,           0.0066565,              0.1009,             0.20998,            0.056595,            0.016485,            0.075856,            0.016549,            0.011575,           0.0082428,           0.0082428,           0.0082428
                  73,            0.059826,            0.030315,           0.0051801,            0.062938,             0.16008,            0.060601,            0.014337,            0.075345,            0.016688,            0.010538,            0.008218,            0.008218,            0.008218
                  74,            0.061297,            0.031325,           0.0054031,             0.12246,             0.26195,            0.097328,            0.023148,            0.075817,            0.015817,            0.010653,           0.0081932,           0.0081932,           0.0081932
                  75,            0.058848,            0.030871,           0.0052491,             0.10288,             0.19575,            0.077678,            0.022956,            0.069432,            0.017708,           0.0070014,           0.0081685,           0.0081685,           0.0081685
                  76,            0.059649,            0.030072,            0.005483,             0.11392,             0.14449,            0.077883,            0.020239,            0.074142,            0.016186,           0.0098645,           0.0081437,           0.0081437,           0.0081437
                  77,            0.060737,            0.030374,           0.0054744,             0.20371,             0.19647,             0.10871,            0.024983,             0.07231,            0.016222,           0.0097795,            0.008119,            0.008119,            0.008119
                  78,            0.057586,            0.029207,           0.0056436,             0.19813,             0.12994,            0.085365,            0.022943,             0.07843,            0.015812,            0.011971,           0.0080942,           0.0080942,           0.0080942
                  79,            0.059886,            0.030827,           0.0054452,             0.14108,             0.14449,            0.077723,            0.025261,             0.07585,            0.016045,            0.012275,           0.0080695,           0.0080695,           0.0080695
                  80,            0.059062,            0.030899,           0.0051842,             0.12848,             0.13202,             0.04846,            0.012684,            0.077075,             0.01815,           0.0086138,           0.0080447,           0.0080447,           0.0080447
                  81,            0.058982,             0.02876,           0.0070868,             0.12633,             0.23597,            0.079895,            0.021042,            0.069424,            0.016706,           0.0074846,             0.00802,             0.00802,             0.00802
                  82,            0.057429,            0.030836,           0.0052355,             0.18174,             0.13877,            0.093748,            0.030443,            0.073061,            0.015725,            0.011435,           0.0079953,           0.0079953,           0.0079953
                  83,            0.057749,            0.028445,           0.0053825,             0.17472,             0.20738,             0.13055,            0.037763,            0.065314,             0.01683,            0.006282,           0.0079705,           0.0079705,           0.0079705
                  84,            0.057518,            0.027652,           0.0047849,             0.22533,             0.30821,             0.13311,            0.032726,            0.072819,            0.015275,            0.010391,           0.0079457,           0.0079457,           0.0079457
                  85,            0.058633,            0.029062,            0.004708,             0.14705,             0.27339,             0.15729,            0.035082,            0.069157,            0.016231,            0.007638,            0.007921,            0.007921,            0.007921
                  86,            0.056844,            0.028188,           0.0049375,             0.18898,             0.27391,              0.1152,            0.031774,            0.065762,             0.01601,           0.0051518,           0.0078963,           0.0078963,           0.0078963
                  87,            0.057668,            0.028291,            0.004765,             0.22941,             0.22349,             0.14203,            0.036446,            0.072888,            0.017189,           0.0097515,           0.0078715,           0.0078715,           0.0078715
                  88,            0.056711,            0.029256,           0.0053493,             0.11919,             0.14241,            0.094835,            0.016366,            0.081347,            0.014682,            0.016564,           0.0078467,           0.0078467,           0.0078467
                  89,            0.055665,            0.028028,            0.004724,              0.2086,             0.13669,            0.090391,            0.020771,            0.078487,            0.015167,            0.016135,            0.007822,            0.007822,            0.007822
                  90,            0.056807,            0.029852,           0.0047754,             0.18217,             0.18503,             0.09718,            0.026007,            0.072339,            0.016066,           0.0085279,           0.0077973,           0.0077973,           0.0077973
                  91,            0.056689,             0.03027,           0.0047326,             0.09876,             0.21674,            0.070889,            0.018206,            0.070568,            0.016868,           0.0070364,           0.0077725,           0.0077725,           0.0077725
